name,metric,approach_name,precision,recall,f1-score
context,proportional,context_few_shot_10,0.2581677839368042,0.4112626642032571,0.31293723913501936
context,proportional,context_few_shot_5,0.24481455830611445,0.40718616888822695,0.3003247913255782
context,proportional,context_fine_tuning,0.23571995654731723,0.42759531219293756,0.3035045302002858
context,proportional,context_pure,0.19603200301523338,0.4336378803838232,0.2677407634884695
context,proportional,no_context,0.08366414986637606,0.29572479890529374,0.12935330176156362
context,strict,context_few_shot_10,0.001383164489300773,0.10175170717224413,0.0027270997068599995
context,strict,context_few_shot_5,0.0011934939971301544,0.0861781594149781,0.002352271189431945
context,strict,context_fine_tuning,0.0018211968736659215,0.13149146451033245,0.0035906459794497634
context,strict,context_pure,0.0010886148831949823,0.08954157109138658,0.0021494890987957477
context,strict,no_context,0.0009667716986536809,0.07734533426415345,0.0019082582931932374
emotion,weighted avg,context_few_shot_10,0.5348952255473994,0.5339732731037079,0.5118874550763066
emotion,weighted avg,context_few_shot_5,0.5682366383588584,0.49098377078741734,0.5131772539326754
emotion,weighted avg,context_fine_tuning,0.50787906477095,0.5709903593339176,0.5278311661035116
emotion,weighted avg,context_pure,0.5670915321517731,0.5301204819277108,0.50670843919986
emotion,weighted avg,no_context,0.49923454956746016,0.4307228915662651,0.45506545702956064
emotion_class,weighted avg,context_few_shot_10,0.7811797706644721,0.7856201769245248,0.778621763858715
emotion_class,weighted avg,context_few_shot_5,0.7666289130733424,0.7467441394510118,0.7561445124220856
emotion_class,weighted avg,context_fine_tuning,0.8113723624359794,0.8211332545821743,0.8120433867001111
emotion_class,weighted avg,context_pure,0.8046034483086273,0.7951807228915663,0.7780688915770337
emotion_class,weighted avg,no_context,0.7239611125153294,0.7018072289156626,0.712187121314737
trigger_level,weighted avg,context_few_shot_10,0.22343500963989069,0.20581592320722755,0.19281904379142098
trigger_level,weighted avg,context_few_shot_5,0.2827109108578586,0.2321178120617111,0.1934065119719527
trigger_level,weighted avg,context_fine_tuning,0.27152266166407446,0.3148268109591129,0.2557876695356589
trigger_level,weighted avg,context_pure,0.18581297981039807,0.22289156626506024,0.11467515669524417
trigger_level,weighted avg,no_context,0.22730004525142825,0.20481927710843373,0.10517118198011678
